TARİH,KALIP NO,BASKI NO,MAKİNE KODU,BİRİNCİ FAZ HIZI,PİSTON SÜRTÜNME BASINCI,İKİNCİ FAZ HIZI,İKİNCİ FAZ MESAFE,3. FAZ BASINC YÜKSELME ZAMANI,3. FAZ BASINCI,TOPUK BOYU,KALIP DOLUM ZAMANI,SPESİFİK BASINÇ BAR
2025-01-14 14:35:59,1,56892,MAK1,0.09,6.0,2.68,54.0,116.0,276.0,170.0,980.0,621.0
2025-01-14 14:30:28,1,56887,MAK1,0.1,8.0,2.72,54.0,116.0,276.0,171.0,796.0,621.0
2025-01-14 14:26:36,1,56882,MAK1,0.09,9.0,2.62,54.0,112.0,275.0,171.0,780.0,618.0
2025-01-14 14:25:51,1,56881,MAK1,0.09,9.0,2.61,55.0,108.0,275.0,170.0,800.0,618.0
2025-01-14 14:25:05,1,56880,MAK1,0.09,9.0,2.64,54.0,120.0,282.0,171.0,832.0,634.0
2025-01-14 14:23:07,1,56878,MAK1,0.09,10.0,2.64,54.0,104.0,266.0,169.0,796.0,598.0
2025-01-14 14:20:08,1,56874,MAK1,0.09,10.0,2.07,49.0,84.0,231.0,173.0,140.0,519.0
2025-01-14 14:19:25,1,56873,MAK1,0.1,9.0,2.62,52.0,116.0,282.0,170.0,772.0,634.0
2025-01-14 14:16:43,1,56870,MAK1,0.09,7.0,2.72,54.0,124.0,291.0,170.0,828.0,654.0
2025-01-14 14:14:52,1,56868,MAK1,0.1,6.0,2.6,53.0,112.0,266.0,171.0,800.0,598.0
2025-01-14 14:14:07,1,56867,MAK1,0.09,9.0,2.58,51.0,124.0,283.0,173.0,864.0,636.0
2025-01-13 23:30:46,1,56582,MAK1,0.1,9.0,2.62,56.0,104.0,265.0,168.0,788.0,596.0
2025-01-13 23:25:19,1,56580,MAK1,0.09,10.0,2.71,52.0,108.0,268.0,171.0,788.0,603.0
2025-01-13 23:23:03,1,56577,MAK1,0.09,10.0,2.61,56.0,100.0,265.0,169.0,772.0,596.0
2025-01-13 23:22:23,1,56576,MAK1,0.09,9.0,2.63,53.0,92.0,250.0,172.0,776.0,562.0
2025-01-13 23:21:43,1,56575,MAK1,0.1,7.0,2.58,51.0,104.0,269.0,171.0,764.0,605.0
2025-01-13 23:19:02,1,56574,MAK1,0.09,10.0,2.63,53.0,108.0,267.0,170.0,776.0,600.0
2025-01-13 23:17:42,1,56572,MAK1,0.09,7.0,2.68,55.0,112.0,271.0,170.0,768.0,609.0
2025-01-13 23:07:52,1,56568,MAK1,0.09,7.0,2.59,54.0,112.0,262.0,171.0,776.0,589.0
2025-01-13 23:07:10,1,56567,MAK1,0.09,7.0,2.46,56.0,120.0,285.0,170.0,760.0,641.0
