TARİH,KALIP NO,BASKI NO,MAKİNE KODU,BİRİNCİ FAZ HIZI,PİSTON SÜRTÜNME BASINCI,İKİNCİ FAZ HIZI,İKİNCİ FAZ MESAFE,3. FAZ BASINC YÜKSELME ZAMANI,3. FAZ BASINCI,TOPUK BOYU,KALIP DOLUM ZAMANI,SPESİFİK BASINÇ BAR
2025-01-14 14:20:08,1,56874,MAK1,0.09,10.0,2.07,49.0,84.0,231.0,173.0,140.0,519.0
2025-01-14 01:03:02,1,56691,MAK1,0.09,5.0,2.95,54.0,400.0,284.0,170.0,1280.0,639.0
2025-01-13 23:05:00,1,56564,MAK1,0.09,6.0,2.2,50.0,84.0,232.0,175.0,128.0,522.0
2025-01-13 04:17:14,1,56534,MAK1,0.09,5.0,3.01,56.0,836.0,287.0,168.0,1424.0,645.0
2025-01-11 03:10:50,1,56020,MAK1,0.1,6.0,3.01,56.0,528.0,283.0,168.0,1168.0,636.0
2025-01-10 00:53:11,1,55824,MAK1,0.1,5.0,3.02,56.0,560.0,283.0,168.0,1180.0,636.0
2025-01-09 14:54:20,1,55561,MAK1,0.09,5.0,3.19,57.0,61752.0,181.0,166.0,96.0,407.0
2025-01-09 14:53:34,1,55560,MAK1,0.1,5.0,3.2,57.0,61776.0,179.0,166.0,92.0,402.0
2025-01-09 14:52:50,1,55559,MAK1,0.1,5.0,3.29,58.0,61840.0,188.0,166.0,104.0,423.0
2025-01-09 08:43:52,1,55183,MAK1,0.1,5.0,2.79,56.0,1392.0,388.0,170.0,1404.0,873.0
2025-01-09 08:37:41,1,55178,MAK1,0.1,5.0,2.78,57.0,1196.0,378.0,167.0,1204.0,850.0
2025-01-09 07:59:46,1,55171,MAK1,0.09,5.0,2.86,56.0,1204.0,383.0,169.0,1216.0,861.0
2025-01-09 07:55:29,1,55167,MAK1,0.1,5.0,3.0,56.0,1232.0,384.0,169.0,1244.0,864.0
2025-01-09 07:52:30,1,55165,MAK1,0.1,5.0,3.13,57.0,1248.0,384.0,167.0,1260.0,864.0
2025-01-09 07:22:45,1,55129,MAK1,0.09,5.0,3.0,57.0,1224.0,383.0,167.0,1232.0,861.0
2025-01-09 07:19:58,1,55127,MAK1,0.1,5.0,2.98,57.0,1492.0,382.0,167.0,1504.0,859.0
2025-01-09 06:47:14,1,55102,MAK1,0.1,5.0,3.17,57.0,1436.0,385.0,167.0,1448.0,866.0
2025-01-09 06:26:21,1,55078,MAK1,0.09,5.0,3.0,56.0,1180.0,385.0,167.0,1192.0,866.0
2025-01-09 05:10:50,1,55000,MAK1,0.1,5.0,3.0,57.0,1336.0,384.0,167.0,1344.0,864.0
2025-01-09 02:51:40,1,54876,MAK1,0.09,5.0,3.16,59.0,1196.0,382.0,165.0,1204.0,859.0
2025-01-09 01:02:24,1,54772,MAK1,0.1,5.0,2.92,57.0,1448.0,384.0,168.0,1460.0,864.0
2025-01-09 00:46:24,1,54755,MAK1,0.09,5.0,2.94,59.0,1184.0,378.0,165.0,1196.0,850.0
2025-01-09 00:35:34,1,54744,MAK1,0.1,6.0,2.83,60.0,1392.0,387.0,164.0,1404.0,870.0
2025-01-09 00:32:11,1,54743,MAK1,0.1,5.0,2.95,59.0,1700.0,388.0,164.0,1712.0,873.0
2025-01-08 05:08:12,1,54622,MAK1,0.1,5.0,2.97,57.0,1632.0,383.0,165.0,1644.0,861.0
2025-01-08 04:56:41,1,54611,MAK1,0.09,5.0,3.02,57.0,1304.0,381.0,167.0,1316.0,857.0
2025-01-08 04:38:19,1,54592,MAK1,0.1,5.0,2.99,60.0,1176.0,383.0,164.0,1188.0,861.0
2025-01-08 03:01:01,1,54517,MAK1,0.09,5.0,2.93,57.0,1164.0,384.0,167.0,1172.0,864.0
2025-01-08 01:55:21,1,54441,MAK1,0.1,5.0,2.93,57.0,1640.0,389.0,168.0,1652.0,875.0
2025-01-07 23:54:30,1,54344,MAK1,0.1,5.0,2.8,57.0,1200.0,381.0,168.0,1212.0,857.0
2025-01-07 23:22:31,1,54303,MAK1,0.09,5.0,2.8,59.0,1164.0,386.0,165.0,1172.0,868.0
