TARİH,KALIP NO,BASKI NO,MAKİNE KODU,BİRİNCİ FAZ HIZI,PİSTON SÜRTÜNME BASINCI,İKİNCİ FAZ HIZI,İKİNCİ FAZ MESAFE,3. FAZ BASINC YÜKSELME ZAMANI,3. FAZ BASINCI,TOPUK BOYU,KALIP DOLUM ZAMANI,SPESİFİK BASINÇ BAR
2025-01-14 14:49:50,1,56908,MAK1,0.09,8.0,2.81,54.0,116.0,274.0,169.0,812.0,616.0
2025-01-14 14:46:01,1,56903,MAK1,0.1,8.0,2.98,55.0,116.0,273.0,168.0,808.0,614.0
2025-01-14 14:44:30,1,56901,MAK1,0.09,9.0,2.81,56.0,112.0,273.0,170.0,800.0,614.0
2025-01-14 14:40:35,1,56896,MAK1,0.09,9.0,2.78,53.0,112.0,276.0,170.0,784.0,621.0
2025-01-14 14:39:50,1,56895,MAK1,0.09,9.0,2.8,55.0,108.0,276.0,169.0,792.0,621.0
2025-01-14 14:32:51,1,56890,MAK1,0.09,8.0,2.75,53.0,108.0,270.0,170.0,780.0,607.0
2025-01-14 14:31:15,1,56888,MAK1,0.1,8.0,2.96,54.0,116.0,278.0,170.0,808.0,625.0
2025-01-14 14:30:28,1,56887,MAK1,0.1,8.0,2.72,54.0,116.0,276.0,171.0,796.0,621.0
2025-01-14 14:29:43,1,56886,MAK1,0.09,8.0,2.74,55.0,104.0,273.0,170.0,788.0,614.0
2025-01-14 14:28:55,1,56885,MAK1,0.09,8.0,2.76,55.0,108.0,276.0,170.0,776.0,621.0
2025-01-14 14:28:10,1,56884,MAK1,0.09,8.0,2.89,54.0,112.0,278.0,170.0,784.0,625.0
2025-01-14 14:27:23,1,56883,MAK1,0.1,8.0,2.78,54.0,116.0,280.0,168.0,776.0,630.0
2025-01-14 14:26:36,1,56882,MAK1,0.09,9.0,2.62,54.0,112.0,275.0,171.0,780.0,618.0
2025-01-14 14:25:51,1,56881,MAK1,0.09,9.0,2.61,55.0,108.0,275.0,170.0,800.0,618.0
2025-01-14 14:25:05,1,56880,MAK1,0.09,9.0,2.64,54.0,120.0,282.0,171.0,832.0,634.0
2025-01-14 14:23:53,1,56879,MAK1,0.09,9.0,2.74,55.0,116.0,278.0,169.0,776.0,625.0
2025-01-14 14:23:07,1,56878,MAK1,0.09,10.0,2.64,54.0,104.0,266.0,169.0,796.0,598.0
2025-01-14 14:22:22,1,56877,MAK1,0.09,8.0,2.78,56.0,112.0,275.0,169.0,792.0,618.0
2025-01-14 14:21:36,1,56876,MAK1,0.09,10.0,2.78,55.0,116.0,279.0,169.0,788.0,627.0
2025-01-14 14:20:51,1,56875,MAK1,0.1,9.0,2.77,54.0,116.0,276.0,170.0,780.0,621.0
2025-01-14 14:20:08,1,56874,MAK1,0.09,10.0,2.07,49.0,84.0,231.0,173.0,140.0,519.0
2025-01-14 14:19:25,1,56873,MAK1,0.1,9.0,2.62,52.0,116.0,282.0,170.0,772.0,634.0
2025-01-14 14:18:41,1,56872,MAK1,0.09,8.0,2.74,54.0,120.0,286.0,170.0,772.0,643.0
