TARİH,SAAT,CEH.2 ÜST1 SET ISI_FARK
2024-11-01,22:33:48,380
2024-11-01,22:34:48,357
2024-11-01,22:35:48,321
2024-11-01,22:36:48,285
2024-11-01,22:37:48,255
2024-11-01,22:39:48,208
2024-11-01,22:40:48,187
2024-11-01,22:41:48,168
2024-11-01,22:42:48,150
2024-11-01,22:43:48,133
2024-11-01,22:44:48,117
2024-11-01,22:45:48,101
2024-11-01,22:46:48,85
2024-11-01,22:47:48,71
2024-11-01,22:48:48,57
2024-11-04,22:24:59,152
2024-11-04,22:26:00,135
2024-11-04,22:28:00,100
2024-11-04,22:29:00,85
2024-11-04,22:30:00,69
2024-11-04,22:31:00,55
2024-11-04,22:22:59,190
2024-11-04,22:21:59,211
2024-11-04,22:20:00,262
2024-11-04,22:21:00,235
2024-11-04,22:15:00,371
2024-11-04,22:16:00,370
2024-11-04,22:17:00,361
2024-11-04,22:19:00,295
2024-11-04,11:00:04,71
2024-11-04,10:59:04,102
2024-11-04,10:57:04,117
2024-11-05,22:18:01,194
2024-11-05,22:19:01,174
2024-11-05,22:20:01,155
2024-11-05,22:21:01,136
2024-11-05,22:22:00,119
2024-11-05,22:23:00,102
2024-11-05,22:24:00,86
2024-11-05,22:25:01,71
2024-11-05,22:17:01,216
2024-11-05,22:16:01,240
2024-11-05,22:14:01,301
2024-11-05,22:15:01,268
2024-11-05,22:10:01,379
2024-11-05,22:11:01,379
2024-11-05,22:12:01,369
2024-11-05,22:13:01,339
2024-11-06,22:56:29,397
2024-11-06,22:58:28,397
2024-11-06,22:59:28,376
2024-11-06,23:00:28,339
2024-11-06,23:01:28,302
2024-11-06,23:02:28,271
2024-11-06,23:04:28,222
2024-11-06,23:05:28,201
2024-11-06,23:06:28,181
2024-11-06,23:08:28,144
2024-11-06,23:09:28,126
2024-11-06,23:11:28,93
2024-11-06,23:13:28,63
2024-11-06,23:10:28,109
2024-11-07,22:18:00,180
2024-11-07,22:19:00,160
2024-11-07,22:19:59,141
2024-11-07,22:20:59,123
2024-11-07,22:22:00,105
2024-11-07,22:23:00,88
2024-11-07,22:23:59,73
2024-11-07,22:25:00,57
2024-11-07,22:17:00,201
2024-11-07,22:14:59,253
2024-11-07,22:13:00,324
2024-11-07,22:14:00,286
2024-11-07,22:10:00,364
2024-11-07,22:11:00,364
2024-11-07,22:12:00,354
2024-11-08,05:15:19,99
2024-11-08,06:30:05,213
2024-11-08,06:31:05,212
2024-11-08,06:32:05,198
2024-11-08,06:34:05,134
2024-11-08,06:35:05,107
2024-11-08,06:36:05,85
2024-11-08,04:22:44,92
2024-11-08,04:23:44,64
2024-11-08,06:33:05,166
2024-11-10,23:36:46,139
2024-11-10,23:35:46,160
2024-11-10,23:34:46,161
2024-11-10,23:33:47,150
2024-11-10,23:30:18,94
2024-11-10,23:14:57,110
2024-11-10,23:20:57,61
2024-11-10,23:19:57,69
2024-11-10,23:17:57,85
2024-11-10,23:16:57,93
2024-11-10,23:15:57,102
2024-11-10,23:21:57,54
2024-11-10,23:18:57,77
2024-11-10,23:40:36,108
2024-11-10,23:13:57,119
2024-11-10,23:38:37,112
2024-11-10,23:43:36,66
2024-11-10,23:42:36,81
2024-11-10,23:41:36,98
2024-11-10,23:12:57,128
2024-11-10,23:39:36,122
2024-11-10,23:10:57,147
2024-11-10,22:50:57,385
2024-11-10,22:49:57,401
2024-11-10,22:48:57,417
2024-11-10,22:47:57,435
2024-11-10,22:46:57,453
2024-11-10,22:45:57,471
2024-11-10,22:51:57,370
2024-11-10,22:44:57,491
2024-11-10,22:42:57,536
2024-11-10,22:41:57,565
2024-11-10,22:40:57,596
2024-11-10,22:38:57,655
2024-11-10,22:37:57,678
2024-11-10,23:11:57,137
2024-11-10,22:43:57,512
2024-11-10,22:52:57,355
2024-11-10,22:39:57,628
2024-11-10,22:54:57,327
2024-11-10,22:53:57,341
2024-11-10,23:08:57,166
2024-11-10,23:06:57,186
2024-11-10,23:05:57,196
2024-11-10,23:04:57,207
2024-11-10,23:03:57,218
2024-11-10,23:07:57,176
2024-11-10,23:00:57,251
2024-11-10,22:55:57,313
2024-11-10,23:01:57,240
2024-11-10,22:56:57,300
2024-11-10,23:09:58,156
2024-11-10,22:57:58,287
2024-11-10,22:58:57,275
2024-11-10,22:59:57,263
2024-11-11,22:35:48,391
2024-11-11,22:38:47,328
2024-11-11,22:39:47,292
2024-11-11,22:40:47,262
2024-11-11,22:41:47,236
2024-11-11,22:42:47,215
2024-11-11,22:44:47,177
2024-11-11,22:45:47,160
2024-11-11,22:47:47,128
2024-11-11,22:48:47,113
2024-11-11,22:49:47,99
2024-11-11,22:50:47,85
2024-11-11,22:51:47,72
2024-11-11,22:52:47,60
2024-11-11,22:36:47,388
2024-11-11,23:17:28,191
2024-11-11,23:18:27,195
2024-11-11,23:19:27,199
2024-11-11,23:20:27,199
2024-11-11,23:21:27,174
2024-11-11,23:22:27,140
2024-11-11,23:23:27,111
2024-11-11,23:24:27,87
2024-11-11,23:25:27,66
2024-11-11,03:11:45,240
2024-11-11,03:14:44,244
2024-11-11,03:15:44,245
2024-11-11,03:16:44,247
2024-11-11,03:17:44,248
2024-11-11,03:18:44,250
2024-11-11,03:19:44,238
2024-11-11,03:20:44,205
2024-11-11,03:21:44,170
2024-11-11,03:22:45,142
2024-11-11,03:23:45,118
2024-11-11,03:24:44,96
2024-11-11,03:26:44,58
2024-11-11,03:10:44,238
2024-11-11,03:09:45,237
2024-11-11,03:07:44,234
2024-11-11,02:39:44,190
2024-11-11,02:40:44,192
2024-11-11,02:41:44,194
2024-11-11,02:42:44,195
2024-11-11,02:43:44,197
2024-11-11,02:45:44,200
2024-11-11,02:46:44,202
2024-11-11,02:47:44,203
2024-11-11,02:48:44,205
2024-11-11,02:49:44,207
2024-11-11,02:50:44,208
2024-11-11,02:53:44,213
2024-11-11,02:54:44,214
2024-11-11,02:55:44,216
2024-11-11,02:56:44,217
2024-11-11,02:57:44,219
2024-11-11,02:58:44,221
2024-11-11,02:59:44,222
2024-11-11,03:00:45,224
2024-11-11,03:01:44,225
2024-11-11,03:02:45,227
2024-11-11,03:03:45,228
2024-11-11,03:04:44,230
2024-11-11,03:05:45,231
2024-11-11,03:06:44,233
2024-11-11,03:08:45,236
2024-11-11,02:38:44,189
2024-11-11,02:35:44,184
2024-11-11,02:34:44,182
2024-11-11,02:33:44,181
2024-11-11,02:19:45,151
2024-11-11,02:20:44,152
2024-11-11,02:21:44,155
2024-11-11,02:22:44,157
2024-11-11,02:23:44,160
2024-11-11,02:24:44,163
2024-11-11,02:25:44,165
2024-11-11,02:27:44,171
2024-11-11,02:28:44,173
2024-11-11,02:29:44,175
2024-11-11,02:30:44,176
2024-11-11,02:31:44,177
2024-11-11,02:32:44,179
2024-11-11,02:37:44,187
2024-11-12,22:41:03,361
2024-11-12,22:42:03,324
2024-11-12,22:43:03,291
2024-11-12,22:44:03,263
2024-11-12,22:46:03,218
2024-11-12,22:47:03,198
2024-11-12,22:48:03,180
2024-11-12,22:51:03,131
2024-11-12,22:52:03,117
2024-11-12,22:54:03,89
2024-11-12,22:55:03,76
2024-11-12,22:56:03,63
2024-11-12,22:57:02,51
2024-11-12,22:50:03,147
2024-11-12,23:16:52,80
2024-11-12,23:17:52,77
2024-11-12,23:18:52,52
2024-11-13,22:38:57,400
2024-11-13,22:39:57,375
2024-11-13,22:40:57,337
2024-11-13,22:41:57,301
2024-11-13,22:43:58,246
