TARİH,SAAT,CEH.3 ALT2 SET ISI_FARK
2024-11-01,22:33:48,421
2024-11-01,22:34:48,403
2024-11-01,22:35:48,374
2024-11-01,22:36:48,346
2024-11-01,22:37:48,321
2024-11-01,22:39:48,280
2024-11-01,22:40:48,263
2024-11-01,22:41:48,246
2024-11-01,22:42:48,231
2024-11-01,22:43:48,216
2024-11-01,22:44:48,201
2024-11-01,22:45:48,187
2024-11-01,22:46:48,173
2024-11-01,22:47:48,159
2024-11-01,22:48:48,147
2024-11-01,22:50:48,122
2024-11-01,22:52:48,104
2024-11-01,22:55:48,87
2024-11-01,22:56:48,82
2024-11-01,22:58:48,70
2024-11-01,22:59:48,66
2024-11-01,23:00:48,62
2024-11-01,23:01:48,59
2024-11-01,23:02:48,54
2024-11-01,23:03:48,51
2024-11-04,22:24:59,244
2024-11-04,22:26:00,232
2024-11-04,22:28:00,207
2024-11-04,22:29:00,196
2024-11-04,22:30:00,184
2024-11-04,22:31:00,173
2024-11-04,22:32:00,162
2024-11-04,22:33:00,152
2024-11-04,22:34:00,142
2024-11-04,22:35:00,132
2024-11-04,22:22:59,271
2024-11-04,22:36:00,122
2024-11-04,22:39:00,95
2024-11-04,22:40:00,89
2024-11-04,22:41:00,83
2024-11-04,22:42:00,76
2024-11-04,22:43:00,71
2024-11-04,22:44:00,67
2024-11-04,22:46:00,59
2024-11-04,22:47:00,55
2024-11-04,22:48:00,53
2024-11-04,22:38:00,103
2024-11-04,22:21:59,286
2024-11-04,22:20:00,324
2024-11-04,22:21:00,303
2024-11-04,22:15:00,405
2024-11-04,22:16:00,405
2024-11-04,22:17:00,398
2024-11-04,22:19:00,349
2024-11-04,10:59:04,70
2024-11-04,10:57:04,82
2024-11-05,22:18:01,269
2024-11-05,22:19:01,252
2024-11-05,22:20:01,237
2024-11-05,22:21:01,222
2024-11-05,22:22:00,209
2024-11-05,22:23:00,195
2024-11-05,22:24:00,183
2024-11-05,22:25:01,170
2024-11-05,22:27:00,147
2024-11-05,22:29:01,125
2024-11-05,22:30:00,115
2024-11-05,22:31:00,106
2024-11-05,22:17:01,286
2024-11-05,22:32:00,96
2024-11-05,22:34:00,81
2024-11-05,22:35:00,74
2024-11-05,22:36:00,67
2024-11-05,22:37:00,63
2024-11-05,22:38:00,59
2024-11-05,22:40:00,52
2024-11-05,22:33:00,87
2024-11-05,22:16:01,305
2024-11-05,22:14:01,354
2024-11-05,22:15:01,328
2024-11-05,22:10:01,412
2024-11-05,22:11:01,411
2024-11-05,22:12:01,404
2024-11-05,22:13:01,382
2024-11-06,23:28:28,56
2024-11-06,23:29:28,52
2024-11-06,23:27:28,58
2024-11-06,23:26:28,60
2024-11-06,23:25:28,65
2024-11-06,22:56:29,436
2024-11-06,22:58:28,432
2024-11-06,22:59:28,418
2024-11-06,23:00:28,391
2024-11-06,23:01:28,363
2024-11-06,23:02:28,339
2024-11-06,23:04:28,298
2024-11-06,23:05:28,281
2024-11-06,23:06:28,265
2024-11-06,23:08:28,236
2024-11-06,23:09:28,222
2024-11-06,23:11:28,195
2024-11-06,23:13:28,171
2024-11-06,23:14:28,159
2024-11-06,23:15:28,148
2024-11-06,23:16:28,136
2024-11-06,23:17:28,125
2024-11-06,23:18:28,115
2024-11-06,23:20:28,97
2024-11-06,23:21:28,90
2024-11-06,23:22:28,84
2024-11-06,23:23:28,77
2024-11-06,23:24:28,71
2024-11-06,23:10:28,208
2024-11-07,22:18:00,255
2024-11-07,22:19:00,239
2024-11-07,22:19:59,224
2024-11-07,22:20:59,210
2024-11-07,22:22:00,196
2024-11-07,22:23:00,183
2024-11-07,22:23:59,170
2024-11-07,22:25:00,159
2024-11-07,22:26:00,147
2024-11-07,22:27:00,135
2024-11-07,22:29:00,113
2024-11-07,22:30:00,102
2024-11-07,22:17:00,273
2024-11-07,22:31:00,92
2024-11-07,22:34:00,69
2024-11-07,22:35:00,63
2024-11-07,22:36:00,58
2024-11-07,22:33:00,77
2024-11-07,22:14:59,315
2024-11-07,22:13:00,367
2024-11-07,22:14:00,340
2024-11-07,22:10:00,397
2024-11-07,22:11:00,396
2024-11-07,22:12:00,389
2024-11-08,05:15:19,119
2024-11-08,06:30:05,244
2024-11-08,06:31:05,241
2024-11-08,06:32:05,228
2024-11-08,06:34:05,175
2024-11-08,06:35:05,152
2024-11-08,06:36:05,132
2024-11-08,06:38:05,97
2024-11-08,06:39:05,82
2024-11-08,04:22:44,102
2024-11-08,04:23:44,76
2024-11-08,06:33:05,201
2024-11-10,23:36:46,280
2024-11-10,23:35:46,294
2024-11-10,23:34:46,291
2024-11-10,23:33:47,281
2024-11-10,23:30:18,231
2024-11-10,23:25:57,170
2024-11-10,23:24:57,178
2024-11-10,23:14:57,261
2024-11-10,23:20:57,210
2024-11-10,23:19:57,219
2024-11-10,23:17:57,236
2024-11-10,23:16:57,244
2024-11-10,23:15:57,253
2024-11-10,23:21:57,202
2024-11-10,23:18:57,227
2024-11-10,23:50:36,154
2024-11-10,23:40:36,256
2024-11-10,23:59:14,90
2024-11-10,23:13:57,270
2024-11-10,23:58:14,97
2024-11-10,23:56:14,110
2024-11-10,23:55:14,120
2024-11-10,23:53:14,145
2024-11-10,23:38:37,259
2024-11-10,23:52:14,150
2024-11-10,23:47:36,178
2024-11-10,23:46:36,187
2024-11-10,23:45:36,197
