TARİH,SAAT,ÖN ISITMA SET ISI_FARK
2024-11-01,13:37:00,56
2024-11-01,13:38:00,57
2024-11-01,13:39:00,57
2024-11-01,13:40:00,62
2024-11-01,13:41:00,65
2024-11-01,13:42:00,71
2024-11-01,13:44:00,72
2024-11-01,13:45:00,68
2024-11-01,13:46:00,68
2024-11-01,13:46:59,68
2024-11-01,13:48:00,66
2024-11-01,13:49:00,70
2024-11-01,13:36:00,52
2024-11-01,13:50:00,70
2024-11-01,13:52:00,75
2024-11-01,13:53:00,77
2024-11-01,13:54:00,67
2024-11-01,13:55:00,64
2024-11-01,13:51:00,70
2024-11-01,13:35:00,54
2024-11-01,22:33:48,197
2024-11-01,22:34:48,187
2024-11-01,22:35:48,161
2024-11-01,22:36:48,134
2024-11-01,22:37:48,112
2024-11-01,22:39:48,78
2024-11-01,22:40:48,65
2024-11-01,22:41:48,55
2024-11-01,03:09:00,52
2024-11-01,03:10:00,53
2024-11-01,03:12:00,51
2024-11-01,03:13:00,51
2024-11-01,03:25:00,52
2024-11-01,03:26:00,57
2024-11-01,03:27:00,56
2024-11-01,04:05:00,60
2024-11-01,04:07:00,57
2024-11-01,04:09:00,58
2024-11-01,04:10:00,55
2024-11-01,04:11:00,59
2024-11-01,04:17:00,52
2024-11-01,04:04:00,59
2024-11-01,04:03:00,55
2024-11-01,04:01:00,63
2024-11-01,03:28:00,57
2024-11-01,03:29:00,56
2024-11-01,03:30:00,59
2024-11-01,03:32:00,65
2024-11-01,03:33:00,67
2024-11-01,03:34:00,71
2024-11-01,03:34:59,68
2024-11-01,03:37:00,70
2024-11-01,03:38:00,72
2024-11-01,03:39:00,71
2024-11-01,03:40:00,72
2024-11-01,03:41:00,71
2024-11-01,04:02:00,56
2024-11-01,03:44:00,73
2024-11-01,03:46:00,62
2024-11-01,03:47:00,67
2024-11-01,03:49:00,68
2024-11-01,03:50:00,63
2024-11-01,03:51:00,57
2024-11-01,03:53:00,63
2024-11-01,03:54:00,65
2024-11-01,03:55:00,60
2024-11-01,03:56:00,66
2024-11-01,03:57:00,64
2024-11-01,03:58:00,68
2024-11-01,03:59:00,66
2024-11-01,03:45:00,71
2024-11-01,00:35:00,64
2024-11-01,00:36:00,66
2024-11-01,00:37:00,68
2024-11-01,00:38:00,69
2024-11-01,00:39:00,70
2024-11-01,00:40:00,66
2024-11-01,00:41:00,65
2024-11-01,00:43:00,62
2024-11-01,00:44:00,65
2024-11-01,00:45:00,65
2024-11-01,00:46:00,67
2024-11-01,00:47:00,65
2024-11-01,00:34:00,63
2024-11-01,00:48:00,69
2024-11-01,00:50:00,69
2024-11-01,00:52:00,69
2024-11-01,00:53:00,65
2024-11-01,00:54:00,68
2024-11-01,00:56:00,69
2024-11-01,00:57:00,70
2024-11-01,00:58:00,67
2024-11-01,00:59:00,69
2024-11-01,01:00:00,62
2024-11-01,01:01:00,65
2024-11-01,01:02:00,60
2024-11-01,01:03:00,65
2024-11-01,00:49:00,65
2024-11-01,01:04:00,63
2024-11-01,00:33:00,63
2024-11-01,00:31:00,62
2024-11-01,00:32:00,61
2024-11-01,00:20:00,53
2024-11-01,00:21:00,54
2024-11-01,00:22:00,56
2024-11-01,00:23:00,57
2024-11-01,00:24:00,59
2024-11-01,00:25:00,60
2024-11-01,00:26:00,59
2024-11-01,00:27:00,62
2024-11-01,00:28:00,61
2024-11-01,00:29:00,60
2024-11-01,00:30:00,59
2024-11-01,01:05:00,64
2024-11-01,01:07:00,65
2024-11-01,01:44:00,62
2024-11-01,01:46:00,52
2024-11-01,01:47:00,55
2024-11-01,01:48:00,56
2024-11-01,01:49:00,59
2024-11-01,01:50:00,58
2024-11-01,01:50:59,61
2024-11-01,01:52:00,58
2024-11-01,01:53:00,57
2024-11-01,01:55:00,53
2024-11-01,01:43:00,66
2024-11-01,02:05:00,53
2024-11-01,02:06:00,64
2024-11-01,02:07:00,66
2024-11-01,02:08:00,61
2024-11-01,02:09:00,64
2024-11-01,02:11:00,56
2024-11-01,02:13:00,51
2024-11-01,01:06:00,60
2024-11-01,01:42:00,70
2024-11-01,01:39:00,67
2024-11-01,01:08:00,64
2024-11-01,01:09:00,70
2024-11-01,01:10:00,67
2024-11-01,01:11:00,69
2024-11-01,01:13:00,69
2024-11-01,01:14:00,69
2024-11-01,01:15:00,72
2024-11-01,01:16:00,73
2024-11-01,01:17:00,74
2024-11-01,01:18:00,72
2024-11-01,01:19:00,72
2024-11-01,01:40:00,69
2024-11-01,01:21:00,69
2024-11-01,01:24:00,70
2024-11-01,01:25:00,66
2024-11-01,01:27:00,60
2024-11-01,01:28:00,61
2024-11-01,01:29:00,57
2024-11-01,01:31:00,62
2024-11-01,01:32:00,56
2024-11-01,01:33:00,62
2024-11-01,01:34:00,61
2024-11-01,01:36:00,63
2024-11-01,01:37:00,64
2024-11-01,01:38:00,67
2024-11-01,01:23:00,71
2024-11-01,01:12:00,67
2024-11-02,09:22:48,51
2024-11-02,09:23:48,51
2024-11-02,07:14:48,52
2024-11-02,07:15:48,53
2024-11-02,07:16:48,53
2024-11-02,07:17:48,52
2024-11-02,07:18:48,51
2024-11-02,07:20:48,54
2024-11-02,07:21:48,52
2024-11-02,07:25:48,51
2024-11-02,07:26:48,55
2024-11-02,07:27:48,52
2024-11-02,07:28:48,56
